[INFO-1]
PC01;88:ae:dd:1b:6c:12;172.30.73.61;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC11;88:ae:dd:1d:6f:31;172.30.73.2;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC12;88:ae:dd:44:f8:e2;172.30.73.3;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC13;88:ae:dd:1d:f5:18;172.30.73.4;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC14;88:ae:dd:1d:a8:20;172.30.73.5;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC15;88:ae:dd:1a:a6:75;172.30.73.6;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC16;88:ae:dd:1d:70:0e;172.30.73.7;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC21;88:ae:dd:1d:70:90;172.30.73.8;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC22;88:ae:dd:44:f8:02;172.30.73.9;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC23;88:ae:dd:1a:aa:a7;172.30.73.10;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC24;88:ae:dd:1d:6f:4e;172.30.73.11;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC25;88:ae:dd:1d:6f:4d;172.30.73.12;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC26;88:ae:dd:1d:71:f2;172.30.73.13;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC31;88:ae:dd:1d:72:4f;172.30.73.14;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC32;88:ae:dd:59:de:cd;172.30.73.15;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC33;88:ae:dd:1d:6f:e4;172.30.73.16;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
